,core_code,core,unit,depth,order,type,density (g/cm3),P (mg/kg),P Density (kg/m3)
247,08100,8,1.0,0.0,1,erosion,1.1751932467096478,323.3532934131737,0.38000260672048497
248,01100,1,1.0,0.0,6,erosion,1.2116664608532997,478.95791583166334,0.5803372427734241
249,01100,1,1.0,0.0,6,erosion,1.2116664608532997,473.5812133072407,0.573822472654596
250,01100,1,1.0,0.0,6,erosion,1.2116664608532997,502.9239766081871,0.6093761148151098
251,01102,1,1.0,0.2,6,erosion,1.2092842013709442,548.5537190082645,0.6633573459999704
252,01102,1,1.0,0.2,6,erosion,1.2092842013709442,527.0541082164328,0.6373582063337843
253,01102,1,1.0,0.2,6,erosion,1.2092842013709442,516.6994106090373,0.6248364341071871
254,01200,1,2.0,0.0,6,erosion,1.1447989015899378,662.0,0.7578568728525388
255,01200,1,2.0,0.0,6,erosion,1.1447989015899378,659.1355599214145,0.7545776649969039
256,01200,1,2.0,0.0,6,erosion,1.1447989015899378,706.6929133858267,0.8090212710054875
257,01205,1,2.0,0.5,6,erosion,1.2270279271705582,554.1922290388549,0.6800093420515773
258,01205,1,2.0,0.5,6,erosion,1.2270279271705582,532.6295585412668,0.65355134316666
259,01205,1,2.0,0.5,6,erosion,1.2270279271705582,572.5490196078431,0.702533636732947
260,01210,1,2.0,1.0,6,erosion,1.2963598927949778,539.2927308447937,0.6991174667430675
261,01210,1,2.0,1.0,6,erosion,1.2963598927949778,580.6142034548944,0.7526849665460283
262,01210,1,2.0,1.0,6,erosion,1.2963598927949778,530.3643724696357,0.6875431010370125
263,01305,1,3.0,0.5,6,erosion,1.117526137860901,502.01207243460766,0.561011612467394
264,01305,1,3.0,0.5,6,erosion,1.117526137860901,542.9447852760736,0.6067549889612867
265,01305,1,3.0,0.5,6,erosion,1.117526137860901,526.8595041322313,0.5887792668482018
266,01310,1,3.0,1.0,6,erosion,1.267937072764114,507.6923076923077,0.6437218984802424
267,01315,1,3.0,1.5,6,erosion,1.3367761571163217,510.35196687370603,0.6822263410541891
268,01315,1,3.0,1.5,6,erosion,1.3367761571163217,527.6639344262295,0.7053685665111739
269,01315,1,3.0,1.5,6,erosion,1.3367761571163217,530.060120240481,0.7085717305756856
270,01325,1,3.0,2.5,6,erosion,1.4692790724625164,498.96480331262944,0.7331185434026221
271,01325,1,3.0,2.5,6,erosion,1.4692790724625164,497.1153846153846,0.7304012312145394
272,01325,1,3.0,2.5,6,erosion,1.4692790724625164,509.9601593625498,0.7492737899410442
273,01330,1,3.0,3.0,6,erosion,1.3246184190684378,821.4990138067061,1.0881727249349198
274,01330,1,3.0,3.0,6,erosion,1.3246184190684378,816.2055335968379,1.0811608835479543
275,01330,1,3.0,3.0,6,erosion,1.3246184190684378,793.2038834951456,1.0506924741542853
276,01335,1,3.0,3.5,6,erosion,1.290116730013632,283.65384615384613,0.3659465724557898
277,01335,1,3.0,3.5,6,erosion,1.290116730013632,311.2449799196787,0.4015423557271345
278,01335,1,3.0,3.5,6,erosion,1.290116730013632,292.1686746987952,0.3769316952148263
279,04100,4,1.0,0.0,4,erosion,0.8021642705242353,791.501976284585,0.6349146054248148
280,04100,4,1.0,0.0,4,erosion,0.8021642705242353,759.3688362919132,0.6091385486229401
281,04100,4,1.0,0.0,4,erosion,0.8021642705242353,724.3460764587525,0.5810445420296271
282,04103,4,1.0,0.3,4,erosion,0.9800122629138892,591.7159763313609,0.5798889129667983
283,04103,4,1.0,0.3,4,erosion,0.9800122629138892,588.5826771653543,0.576818241360734
284,04103,4,1.0,0.3,4,erosion,0.9800122629138892,509.99999999999994,0.4998062540860834
285,04200,4,2.0,0.0,4,erosion,0.9155269631328831,641.1764705882352,0.5870143469499074
286,04200,4,2.0,0.0,4,erosion,0.9155269631328831,611.6700201207243,0.5600003959605562
287,04200,4,2.0,0.0,4,erosion,0.9155269631328831,741.0358565737051,0.678438307341499
288,04205,4,2.0,0.5,4,erosion,1.1068470436296516,437.8698224852071,0.48465491851239184
289,04205,4,2.0,0.5,4,erosion,1.1068470436296516,482.1428571428572,0.533658396035725
290,04300,4,3.0,0.0,4,erosion,1.1336269260864769,434.5703125,0.4926406075278147
291,04300,4,3.0,0.0,4,erosion,1.1336269260864769,458.8235294117647,0.520134707263207
292,04300,4,3.0,0.0,4,erosion,1.1336269260864769,436.3636363636364,0.4946735677468263
293,04305,4,3.0,0.5,4,erosion,1.0501656973253275,481.37254901960785,0.5055209386144469
294,04305,4,3.0,0.5,4,erosion,1.0501656973253275,476.90763052208837,0.5008320343669986
295,04305,4,3.0,0.5,4,erosion,1.0501656973253275,464.71774193548396,0.48803063151912907
296,04310,4,3.0,1.0,4,erosion,1.1490705392824374,547.713717693837,0.6293616969628459
297,04310,4,3.0,1.0,4,erosion,1.1490705392824374,564.8702594810379,0.6490757736864866
298,04310,4,3.0,1.0,4,erosion,1.1490705392824374,528.5433070866142,0.6073335429081386
299,04315,4,3.0,1.5,4,erosion,1.0969072713067192,2699.404761904762,2.9609967115333165
300,04315,4,3.0,1.5,4,erosion,1.0969072713067192,2516.8986083499008,2.7608043846407684
301,04315,4,3.0,1.5,4,erosion,1.0969072713067192,2454.8192771084337,2.692709114804145
302,04320,4,3.0,2.0,4,erosion,1.1914583286926277,569.8602794411178,0.678964776131228
303,04320,4,3.0,2.0,4,erosion,1.1914583286926277,570.9939148073022,0.6803154554299689
304,04320,4,3.0,2.0,4,erosion,1.1914583286926277,591.7159763313609,0.7050049282204898
305,04325,4,3.0,2.5,4,erosion,1.2118307546107032,509.0725806451613,0.6169098095548439
306,04325,4,3.0,2.5,4,erosion,1.2118307546107032,530.8764940239043,0.6433324623580725
307,04325,4,3.0,2.5,4,erosion,1.2118307546107032,476.1904761904762,0.5770622641003349
308,04330,4,3.0,3.0,4,erosion,1.2706479197612772,442.7710843373494,0.562606157243698
309,04330,4,3.0,3.0,4,erosion,1.2706479197612772,461.38613861386136,0.5862593372363912
310,04330,4,3.0,3.0,4,erosion,1.2706479197612772,446.8503937007874,0.5677895232004132
311,04335,4,3.0,3.5,4,erosion,1.3496732170725227,494.10609037328095,0.6668817565692328
312,04335,4,3.0,3.5,4,erosion,1.3496732170725227,499.003984063745,0.6734923125033206
313,04335,4,3.0,3.5,4,erosion,1.3496732170725227,501.008064516129,0.6761971662147619
314,04340,4,3.0,4.0,4,erosion,1.3188681375593032,654.2239685658153,0.862835146969053
315,04340,4,3.0,4.0,4,erosion,1.3188681375593032,692.0,0.9126567511910378
316,04340,4,3.0,4.0,4,erosion,1.3188681375593032,628.7726358148893,0.829268195145437
317,04343,4,3.0,4.3,4,erosion,1.2721265635779115,587.7712031558185,0.7477193608406659
318,04343,4,3.0,4.3,4,erosion,1.2721265635779115,568.452380952381,0.7231433739386343
319,04343,4,3.0,4.3,4,erosion,1.2721265635779115,581.3492063492064,0.7395497681117621
320,03100,3,1.0,0.0,3,erosion,0.9111731785616812,553.7848605577689,0.5045939116337597
321,03100,3,1.0,0.0,3,erosion,0.9111731785616812,562.6283367556468,0.5126518499505147
322,03105,3,1.0,0.5,3,erosion,0.9651436778688418,266.6015625,0.25730881255682986
323,03105,3,1.0,0.5,3,erosion,0.9651436778688418,367.49482401656314,0.35468530604910853
324,03105,3,1.0,0.5,3,erosion,0.9651436778688418,283.65384615384613,0.2737667163185657
325,03110,3,1.0,1.0,3,erosion,1.1010967621205172,364.35643564356434,0.4011916915449013
326,03110,3,1.0,1.0,3,erosion,1.1010967621205172,366.79536679536676,0.4038771907391858
327,03110,3,1.0,1.0,3,erosion,1.1010967621205172,366.8032786885246,0.40388590249912415
328,03113,3,1.0,1.3,3,erosion,1.2047661230423385,327.93522267206475,0.39508524682764945
329,03113,3,1.0,1.3,3,erosion,1.2047661230423385,331.32530120481925,0.3991694985983652
330,03113,3,1.0,1.3,3,erosion,1.2047661230423385,381.5533980582524,0.4596826081122709
331,03200,3,2.0,0.0,3,erosion,1.2795197826610845,476.00767754318616,0.6090612401150651
332,03200,3,2.0,0.0,3,erosion,1.2795197826610845,511.1788617886179,0.654063466136713
333,03200,3,2.0,0.0,3,erosion,1.2795197826610845,460.60606060606057,0.5893545665590448
334,03205,3,2.0,0.5,3,erosion,1.1977014914739734,602.2964509394573,0.7213713575996689
335,03300,3,3.0,0.0,3,erosion,0.998331016864417,749.4824016563148,0.7482315281675341
336,03300,3,3.0,0.0,3,erosion,0.998331016864417,684.0077071290943,0.6828661098012871
337,03300,3,3.0,0.0,3,erosion,0.998331016864417,711.340206185567,0.7101529913777812
338,03305,3,3.0,0.5,3,erosion,1.0964143900345078,550.4032258064516,0.6034700170956061
339,03305,3,3.0,0.5,3,erosion,1.0964143900345078,582.4949698189134,0.638655867032173
340,03305,3,3.0,0.5,3,erosion,1.0964143900345078,549.266247379455,0.6022234175870882
341,03310,3,3.0,1.0,3,erosion,1.0766991391460472,644.7638603696099,0.6942166934124412
342,03310,3,3.0,1.0,3,erosion,1.0766991391460472,594.0,0.639559288652752
343,03310,3,3.0,1.0,3,erosion,1.0766991391460472,633.1360946745563,0.6816970880983849
344,03315,3,3.0,1.5,3,erosion,1.0222357585666753,566.2768031189083,0.5788683973949691
345,03315,3,3.0,1.5,3,erosion,1.0222357585666753,605.9730250481696,0.6194472949310585
346,03315,3,3.0,1.5,3,erosion,1.0222357585666753,604.7430830039525,0.6181900041924953
347,03320,3,3.0,2.0,3,erosion,1.1171154034673914,642.9961089494163,0.7183008576769899
348,03320,3,3.0,2.0,3,erosion,1.1171154034673914,596.8688845401174,0.666771424770165
349,03320,3,3.0,2.0,3,erosion,1.1171154034673914,568.798449612403,0.6354135095303862
350,03325,3,3.0,2.5,3,erosion,1.2840378609896899,570.5882352941177,0.7326568971529407
351,03325,3,3.0,2.5,3,erosion,1.2840378609896899,550.4950495049505,0.7068564858517501
352,03325,3,3.0,2.5,3,erosion,1.2840378609896899,555.984555984556,0.7139052200097117
353,03330,3,3.0,3.0,3,erosion,1.2944705145848334,456.2624254473161,0.5906182566545115
354,03330,3,3.0,3.0,3,erosion,1.2944705145848334,446.42857142857144,0.5778886225825149
355,03330,3,3.0,3.0,3,erosion,1.2944705145848334,477.1371769383698,0.6176400069589663
356,03333,3,3.0,3.3,3,erosion,1.3157465561686303,428.42942345924445,0.5637045384778127
357,03333,3,3.0,3.3,3,erosion,1.3157465561686303,480.0796812749004,0.6316631873239839
358,03333,3,3.0,3.3,3,erosion,1.3157465561686303,496.031746031746,0.6526520615915825
