,gridcode,area,perim,hdiff,vol_chg,StrmOrder
554,1,531.731,557.54,0.48,255.231,3
555,1,32.7448,58.56,0.17,5.56662,3
556,2,13.7677,32.94,-0.72,-9.91274,3
557,2,4.8373,12.2,-0.16,-0.773968,3
558,1,34.9774,84.18,0.54,18.8878,3
559,1,42.0473,73.2,0.02,0.840946,4
560,1,204.655,159.82,0.59,120.746,3
561,1,203.539,279.38,0.21,42.7432,3
562,1,34.9774,53.68,0.64,22.3855,4
563,1,122.421,206.18,0.28,34.2779,3
564,1,354.239,467.26,0.64,226.713,3
565,1,58.4197,109.8,1.0,58.4197,3
566,1,320.75,419.68,0.61,195.658,3
